BH-001	BH-002	BH-003	BH-004	BH-005	BH-006	BH-007	BH-008	CUC-001	CUC-002	CUC-003	CUC-004	CUC-005	CUC-006	CUC-007	CUC-008	FC-001	FC-002	FC-003	FC-004	FC-005	FC-006	FC-007	FC-008	FH-001	FH-002	FH-003	FH-004	FH-005	FH-006	FH-007	FH-008	FOC-001	FOC-002	FOC-003	HC-001	HC-002	HC-003	HC-004	HC-005	HC-006	HC-007	HC-008	HC-009	Hos-001	Hos-002	Hos-003	Hos-004	Hos-005	Hos-006	Hos-007	Hos-008	MLC-001	MLC-002	MLC-003	MLC-004	MLC-005	MLC-006	MLC-007	MLC-008	MLLH-001	MLLH-002	MLLH-003	MLLH-004	MLLH-005	MLLH-006	MLLH-007	MLLH-008	PLLC-001	PLLC-002	PLLC-003	PLLC-004	PLLC-005	PLLC-006	PLLC-007	PLLC-008	PWH-001	PWH-002	PWH-003	PWH-004	PWH-005	PWH-006	SCU-001	SCU-002	SCU-003	SCU-004	SCU-005	SCU-006	SCU-007	SCU-008	Kingdom	Phylum	Class	Order	Family	Genus
157	296	88	69	290	283	51	959	111	110	3363	26788	13745	108	296	973	74	3125	9679	2336	6392	17716	124	19	639	2649	40	164	49	6048	40	42	171	191	148	24	29	24	8	1360	28	68	34	28	464	515	110	110	1324	73	59	136	289	27	680	327	1214	67	1139	99	88	1336	6568	272	118	63	28	23	43	34	956	99	84	58	401	99	373	65	175	134	2931	355	143	260	286	298	57	277	95	1961	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus_Saccharimonas
644	397	1029	310	1190	1409	534	165	961	861	725	778	653	435	1171	1623	969	177	1129	294	101	586	1853	796	361	5289	190	862	792	39	1052	1222	993	848	1022	10	16	6	7	231	5	5	61	3	99	1258	780	1052	858	429	1088	880	803	599	958	1402	279	1930	88	1926	510	278	3179	2930	567	894	1097	672	769	575	6544	1171	1200	993	1027	1166	166	723	19	476	3000	488	581	649	1242	1135	372	546	585	570	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-005
7	18	0	4	10	34	2	661	18	15	58	36335	12945	8	110	10	20	2224	13740	2965	2915	3100	29	26	97	2	1	0	5	1275	1	0	5	16	40	0	0	0	0	835	24	22	0	6	5	44	19	4	453	31	38	15	2	3	44	7	680	4	22	9	1	4	66	10	2	7	1	11	3	5	112	28	1	0	21	1	6	0	2	0	70	8	16	30	35	30	4	3	2	68	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus_2
54	82	302	32	87	107	15	429	102	72	1114	14150	6736	61	118	224	17	1058	9595	1097	2327	5318	38	24	320	1476	11	128	18	2805	17	16	116	69	71	0	0	0	0	742	9	15	1	3	412	249	30	24	649	31	18	42	163	10	256	73	679	36	517	33	236	707	4747	884	74	21	11	13	20	15	365	39	36	34	121	41	392	21	1	243	1575	158	69	98	106	84	29	90	20	925	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus_Saccharimonas
0	1	0	0	1	3	0	2	0	1	0	392	0	5	0	231	3	566	6761	11	77	631	328	3	19	2	0	5	3	33	0	1	0	0	0	1	5	0	0	4268	1	2	0	0	1	0	0	210	70	0	4	0	0	53	0	142	722	856	22	37	0	0	1	2	16	7	32	24	0	0	2409	3	0	0	921	0	3	20	40171	3	28	1	9	3	1	120	0	0	3	1	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
103	184	89	59	333	498	25	41	19	186	132	527	32	25	298	57	398	30	1467	5	250	867	625	603	394	2914	11	29	33	12	102	619	17	51	268	4	3	2	3	17490	21	48	85	4	6	1064	101	38	92	14	390	112	1731	201	249	989	86	489	169	355	1840	709	759	285	26	240	45	88	23	104	2491	1361	84	133	775	543	35	131	5	10	7623	123	186	456	425	719	127	352	36	1161	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-013
176	278	1739	115	244	1076	75	1	196	183	82	105	38	160	790	387	578	18	253	12	25	1325	1800	491	442	745	171	528	482	17	607	1246	233	329	333	1	2	1	1	4173	1	1	3	3	13	1181	252	542	14	120	988	276	689	421	356	1408	8	830	6	666	758	84	82	4388	973	475	343	286	709	213	4504	355	649	469	374	469	79	172	1	157	3755	282	265	389	755	584	233	180	309	56	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group
0	0	3	0	2	0	0	5	0	0	0	4	3	3	0	0	0	0	5	1	0	2	6	48	0	786	1	2	0	1	10	23	0	0	0	4	62	3	8	0	26	29	54	15	1	0	0	0	0	4	11	0	4	0	0	0	0	0	19	0	78	86	43017	0	0	0	0	0	0	0	0	0	0	0	0	11	0	24	858	41	0	1	0	1	0	0	0	0	1	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
133	137	1298	19	78	182	40	0	53	58	59	15	5	85	211	102	353	2	7	0	0	3	286	146	482	2164	38	275	157	4	333	376	42	48	96	6	2	1	1	6402	2	0	2031	2	1	218	37	80	2	18	402	374	342	64	393	576	0	378	3	206	1462	449	19	3072	116	185	168	48	96	47	3445	438	158	149	591	269	4710	1808	2	221	3333	1782	32	126	174	434	47	78	91	175	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	NA
179	35	224	61	238	32	9	3	135	41	123	11	6	117	261	750	367	2	27	3	0	16	944	188	240	1336	172	301	139	3	704	629	27	101	176	3	6	73	5	7226	506	78	782	6	7	96	169	79	7	95	426	337	551	180	183	662	2	514	3	468	383	50	20	1671	168	191	356	246	236	211	13566	290	533	330	281	447	28	273	22	131	727	346	75	42	326	316	95	183	66	8	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
