OUT_ID	BH.001	BH.002	BH.003	BH.004	BH.005	BH.006	BH.007	BH.008	CUC.001	CUC.002	CUC.003	CUC.004	CUC.005	CUC.006	CUC.007	CUC.008	FC.001	FC.002	FC.003	FC.004	FC.005	FC.006	FC.007	FC.008	FH.001	FH.002	FH.003	FH.004	FH.005	FH.006	FH.007	FH.008	FOC.001	FOC.002	FOC.003	HC.001	HC.002	HC.003	HC.004	HC.005	HC.006	HC.007	HC.008	HC.009	Hos.001	Hos.002	Hos.003	Hos.004	Hos.005	Hos.006	Hos.007	Hos.008	MLC.001	MLC.002	MLC.003	MLC.004	MLC.005	MLC.006	MLC.007	MLC.008	MLLH.001	MLLH.002	MLLH.003	MLLH.004	MLLH.005	MLLH.006	MLLH.007	MLLH.008	PLLC.001	PLLC.002	PLLC.003	PLLC.004	PLLC.005	PLLC.006	PLLC.007	PLLC.008	PWH.001	PWH.002	PWH.003	PWH.004	PWH.005	PWH.006	SCU.001	SCU.002	SCU.003	SCU.004	SCU.005	SCU.006	SCU.007	SCU.008	taxonomy
ASV_1	70	138	14	69	68	69	33	549	48	37	1259	1685	1481	84	93	332	29	1520	570	1093	1950	2038	31	10	216	188	34	53	13	1564	11	12	76	61	55	12	7	6	8	69	10	16	9	14	209	165	65	61	474	57	27	31	86	15	141	85	512	25	520	31	26	521	536	16	44	30	15	18	32	33	37	61	24	23	124	22	109	27	13	55	127	126	93	131	68	82	36	168	49	652	Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus_Saccharimonas
ASV_2	272	196	204	310	306	351	371	114	416	379	266	52	71	315	340	562	341	93	56	126	19	60	532	305	123	354	147	284	329	13	412	324	389	283	406	1	5	0	5	9	2	1	13	2	53	387	498	544	323	339	367	250	270	388	219	359	134	704	40	627	143	87	228	177	248	467	567	501	368	516	267	688	464	464	307	366	43	258	1	201	131	189	343	339	277	323	231	294	312	186	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-005
ASV_3	4	7	0	4	2	5	2	422	10	7	14	2260	1451	7	30	1	9	1058	843	1371	899	361	11	14	33	0	1	0	4	341	0	0	1	7	15	0	0	0	0	42	13	6	0	1	2	15	11	2	146	21	10	4	1	1	10	4	283	1	7	6	0	3	3	1	0	4	1	7	0	5	6	17	0	0	5	1	3	0	0	0	1	3	9	10	8	11	2	1	1	30	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus_2
ASV_4	21	36	51	32	20	29	7	258	42	32	397	885	721	40	37	80	5	516	538	549	716	637	13	7	117	119	8	49	5	713	4	4	44	24	31	0	0	0	0	31	7	3	1	1	182	81	13	11	232	24	5	10	54	6	55	24	291	13	237	11	69	246	381	58	28	11	7	10	10	13	9	26	12	12	46	7	97	6	0	103	69	62	35	56	28	32	17	49	6	308	Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus_Saccharimonas
ASV_5	0	1	0	0	0	1	0	2	0	0	0	31	0	4	0	74	1	281	400	2	21	80	100	1	7	0	0	4	0	5	0	0	0	0	0	0	1	0	0	206	1	0	0	0	1	0	0	107	20	0	3	0	0	37	0	31	300	284	7	14	0	0	0	0	6	7	20	19	0	0	95	2	0	0	268	0	1	9	2649	3	1	1	3	1	0	25	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium
ASV_6	40	82	15	59	79	109	20	23	6	77	37	24	1	16	95	21	149	14	78	3	71	102	196	224	128	204	10	9	16	3	40	138	7	16	99	2	1	1	3	857	11	14	22	1	2	335	60	24	29	13	114	23	570	124	56	241	37	192	78	124	495	232	67	18	8	132	28	64	13	95	107	754	35	53	232	152	10	46	0	1	325	49	103	232	75	192	76	173	17	418	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-013
ASV_7	76	110	319	115	68	254	50	0	88	69	34	6	3	109	227	123	196	10	17	6	6	133	577	181	131	64	144	185	182	5	211	256	87	114	135	0	1	0	1	182	0	0	0	3	5	371	150	288	4	94	334	76	241	269	75	303	1	289	3	203	207	25	10	307	355	244	178	205	376	193	191	198	256	236	114	156	21	57	0	63	157	104	167	195	156	186	143	87	145	19	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae_RC9_gut_group
ASV_8	0	0	0	0	1	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	16	0	48	1	0	0	0	3	6	0	0	0	1	16	0	5	0	10	10	12	8	0	0	0	0	0	3	6	0	1	0	0	0	0	0	10	0	15	28	3427	0	0	0	0	0	0	0	0	0	0	0	0	5	0	9	51	25	0	0	0	0	0	0	0	0	1	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Unassigned
ASV_9	61	68	267	19	18	29	27	0	20	20	21	0	0	62	70	41	124	2	1	0	0	1	89	54	173	159	31	96	61	1	116	100	14	11	41	2	1	1	0	286	1	0	593	1	1	62	27	42	0	15	133	114	127	35	75	139	0	125	2	59	378	163	2	176	45	101	84	39	43	41	154	249	62	69	168	90	1413	637	0	88	148	682	25	58	35	112	26	29	52	64	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Unassigned
ASV_10	85	19	32	61	66	9	6	3	61	17	44	1	0	90	78	269	133	1	2	2	0	3	280	71	72	90	131	101	62	0	258	145	11	47	73	2	0	25	3	379	262	15	246	3	4	29	116	41	3	82	138	93	177	115	49	167	1	172	0	174	104	17	2	120	63	112	191	193	112	194	559	160	196	157	73	125	6	103	0	52	41	128	46	12	59	87	64	101	27	5	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Unassigned
ASV_11	10	18	114	19	30	25	24	48	37	53	91	219	72	54	15	11	52	132	346	182	257	733	20	19	38	97	31	129	50	61	118	34	29	17	42	76	28	67	36	8	12	32	6	41	3	30	45	8	160	31	11	36	86	24	36	66	87	77	43	117	41	47	52	134	12	72	55	51	83	234	103	58	60	70	41	17	16	142	194	96	169	259	35	41	16	21	25	6	39	47	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-014
ASV_12	109	20	248	95	58	114	18	1	98	51	1	1	7	44	168	0	222	0	0	0	0	0	78	8	965	0	67	0	29	1	0	0	5	19	20	0	0	0	0	556	1	0	0	2	1	205	8	30	0	2	98	48	56	62	62	111	1	88	0	5	1	1	0	246	0	70	6	100	25	37	74	35	38	127	198	0	182	15	1	216	294	202	96	135	87	17	133	97	167	70	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Unassigned
ASV_13	0	0	247	0	0	0	0	0	0	1	1	0	0	1	0	2	260	2	0	0	0	0	0	184	89	0	0	19	0	0	0	0	0	0	0	2	0	0	0	830	0	0	0	0	0	0	1	0	2	0	4	0	85	22	1	457	0	914	0	766	0	9	30	202	1	242	266	25	262	214	90	23	41	223	3	20	1	5	0	8	73	12	1	2	0	0	0	0	1	0	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema_2
ASV_14	51	23	28	61	37	63	40	26	35	23	136	14	9	84	111	189	92	0	2	0	0	11	102	15	114	935	88	94	54	0	123	115	14	30	64	4	187	2	5	19	9	0	2	0	12	24	75	46	0	26	65	23	104	32	39	57	3	48	1	43	232	464	37	85	54	68	205	21	44	44	129	100	107	43	383	147	33	113	10	58	108	94	125	82	125	105	46	157	88	272	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella_4
